fnl,hpw,gain,edu_int,years,loss,relation,country,job,work_type,partner,edu,gender,race,money
0.9746740764273419,-0.3002790351562943,0.0,-0.04868368184527469,-0.03835027921400037,0.0,NotM,United-States,Adm-clerical,Priv,D,SC,M,White,<=50K
-0.3347763963550085,-0.3002790351562943,0.0,-0.4551771798414683,1.7569028791344417,0.0,NotF,United-States,Craft-repair,LGov,NM,HSG,M,White,<=50K
0.09584918690843802,-0.3002790351562943,0.0,1.170796812143306,0.26085858051073996,0.0,H,United-States,Sales,SelfInc,MCS,B,M,White,>50K
-0.33801366111669473,-0.3002790351562943,0.0,-0.04868368184527469,0.18605636557955488,0.0,H,United-States,Exec-managerial,SelfInc,MCS,SC,M,White,>50K
-0.0312134549877462,-0.3002790351562943,0.0,-0.4551771798414683,-1.0107790733194064,0.0,NotF,United-States,Machine-op-inspct,Priv,NM,HSG,M,White,<=50K
-0.022796566607362023,-0.3002790351562943,0.0,-1.2681641758338555,1.308089589547331,0.0,NotF,United-States,Sales,Priv,D,11,F,White,<=50K
-0.9134259108465576,-0.3002790351562943,0.0,1.5772903101394997,0.7844740850290355,0.0,NotF,United-States,Exec-managerial,Priv,D,M,F,White,<=50K
-1.6754433507679047,-0.3002790351562943,0.0,-0.4551771798414683,1.5324962343408863,0.0,NotF,United-States,Machine-op-inspct,Priv,W,HSG,F,White,<=50K
-1.0069019308402472,-0.3002790351562943,0.0,-0.8616706778376619,-1.609196792768887,0.0,OwnC,United-States,Other-service,Priv,NM,12,F,White,<=50K
0.607337019254861,-1.1734035100206064,0.0,-0.04868368184527469,-0.3375591389387407,0.0,NotM,United-States,Other-service,Priv,S,SC,F,Black,<=50K
-0.6947024295552006,-0.3002790351562943,0.0,1.170796812143306,-0.9359768583882213,0.0,Other,United-States,Sales,Priv,NM,B,M,White,<=50K
0.44038665083075734,-0.3002790351562943,0.0,-0.04868368184527469,-1.1603835031817766,0.0,OwnC,United-States,Craft-repair,Priv,NM,SC,F,White,<=50K
-1.7302224951995808,-0.3002790351562943,0.0,-2.0811511718262428,0.03645193571718472,0.0,H,United-States,Machine-op-inspct,FGov,MCS,9,M,White,>50K
-0.8900251112835114,2.6101358810580795,0.0,1.170796812143306,1.7569028791344417,0.0,NotF,United-States,Exec-managerial,Priv,W,B,M,White,>50K
0.1729307732161596,-0.3002790351562943,0.0,-0.4551771798414683,-1.4595923629065168,0.0,OwnC,United-States,Craft-repair,Priv,NM,HSG,F,Black,<=50K
0.31039890898919237,-0.3002790351562943,0.0,-0.4551771798414683,-0.4123613538699258,0.0,NotF,United-States,Exec-managerial,FGov,NM,HSG,F,White,<=50K
-0.17683256096431035,2.6101358810580795,0.0,-0.04868368184527469,-0.7863724285258512,0.0,NotF,United-States,Exec-managerial,Priv,NM,SC,F,White,<=50K
0.993866431800196,-0.3002790351562943,0.0,-0.04868368184527469,-1.534394577837702,0.0,OwnC,United-States,Craft-repair,Priv,NM,SC,M,White,<=50K
0.09146731782029845,-0.3002790351562943,0.0,-0.4551771798414683,1.6072984492720714,0.0,NotF,United-States,Craft-repair,Priv,D,HSG,F,White,<=50K
-0.6009373680649318,2.6101358810580795,0.0,1.170796812143306,2.280518383652737,0.0,H,United-States,Exec-managerial,Priv,MCS,B,M,Black,>50K
0.029751177470723263,-0.3002790351562943,0.0,-0.4551771798414683,-0.2627569240075556,0.0,NotF,United-States,Adm-clerical,Priv,NM,HSG,M,White,>50K
-0.12078163394768607,-0.3002790351562943,0.0,0.7643033141471125,0.1112541506483698,0.0,W,United-States,Exec-managerial,SelfInc,MCS,AA,F,White,>50K
-0.04039341291909927,-0.3002790351562943,0.0,1.170796812143306,-0.3375591389387407,0.0,NotM,United-States,Prof-specialty,Priv,D,B,F,White,>50K
-1.4575176240071062,-0.3002790351562943,0.0,2.390277306131887,1.308089589547331,0.0,NotF,China,Prof-specialty,SGov,MCS,D,M,Asian-Pac-Islander,<=50K
1.418699623472197,-0.3002790351562943,0.0,-0.04868368184527469,-0.5619657837322959,0.0,NotM,United-States,Other-service,Priv,NM,SC,F,Black,<=50K
-1.0783645504544705,2.6101358810580795,0.0,-0.4551771798414683,-0.636767998663481,0.0,H,United-States,Craft-repair,Priv,MCS,HSG,M,White,<=50K
2.5274512426898648,2.6101358810580795,0.0,1.170796812143306,-0.18795470907637052,0.0,H,United-States,Prof-specialty,Priv,MCS,B,M,White,>50K
-0.4575265391222321,-0.3002790351562943,0.0,-0.4551771798414683,-0.2627569240075556,0.0,H,United-States,Craft-repair,SGov,MCS,HSG,M,White,<=50K
-1.4413544235184013,-0.3002790351562943,0.0,-1.6746576738300492,-1.534394577837702,0.0,OwnC,United-States,Other-service,LGov,NM,10,M,White,<=50K
1.6407528628041452,-0.506669433109828,0.0,-0.4551771798414683,-0.7115702135946661,0.0,NotF,United-States,Farming-fishing,SelfNotInc,NM,HSG,M,White,<=50K
1.0120413611050916,-0.42458150415796925,0.0,-0.04868368184527469,-0.4123613538699258,0.0,H,United-States,Protective-serv,LGov,MCS,SC,M,White,<=50K
-0.0826628413788308,2.6101358810580795,0.0,1.170796812143306,0.03645193571718472,0.0,H,United-States,Exec-managerial,Priv,MCS,B,M,White,>50K
0.1156196252744503,-0.3002790351562943,0.0,-1.2681641758338555,-1.534394577837702,0.0,OwnC,United-States,Craft-repair,Priv,NM,11,M,White,<=50K
